EG	ECK	Gene	Syn	Type	Len	Ori	LeftEnd	RightEnd	Cs	MW	Protein	Function	Description	Comments	GI	SP	b#	ASAP	JW	CG	
EG12966	ECK0942	pqiB	pqi5	aa	546	Clockwise	1013259	1014899	21.83	60520.47	periplasmic MCE subunit of the putative PqiABC transporter, IM-anchored, paraquat-inducible	Putative transport; Not classified	Periplasmic MCE subunit of the putative PqiABC transporter; IM-anchored; paraquat-inducible, SoxRS-regulated; RpoS regulon	Overexpression of plasmid-encoded pqiABC suppresses the SDS(0.1%)/EDTA(0.95 mM) sensitivity of an mlaD deletion strain, inferring a role for PqiABC in maintaining outer membrane (OM) integrity, probably by being a transport pathway functionally similar to the Mla transport pathway (which maintains OM asymmetry by removing phospholipids from the OM outer leaflet); simultaneous deletion of pqiB and yebT in a mlaD mutant background increases sensitivity to SDS/EDTA, a phenotype complemented weakly by a pqiBC plasmid and more fully by a pqiABC plasmid; PqiB was localized to the periplasm by a protease accessibility assay; yeast two-hybrid assays were used to demonstrate PqiB homo-oligimerization and PqiB-PqiC protein-protein interaction (Nakayama, 2016). The pqiABC operon P1 promoter is paraquat-inducible (superoxide generator-inducible) and SoxRS-regulated; P2 is RpoS-regulated (Koh, 1995; Kim, 2005; Ito, 2008). PqiB has three tandem MCE/MlaD (mammalian cell entry, Pfam:PF02470, InterPro:IPR003399) domains; PqiB has a possible (E=3e-03) C-terminal DASH complex subunit Duo1 PF08651 domain followed by a possible coil-coil or disordered region that may be involved in homodimerization and/or a periplasmic interaction with PqiC. TMHMM strongly predicts that residues 16-38 of PqiB comprise a single transmembrane region oriented such that the bulk of the protein is in the periplasm. The pqiAB and yebST genes are paralogous.	; 1787184	P43671	b0951	3221	JW0934	CG39524
EG12967	ECK1261	yciO	None	aa	206	Clockwise	1324098	1324718	28.53	23211.76	putative RNA binding protein	Null	Predicted RNA binding protein; low abundance protein	TsaA paralog YciO does not complement a tsaC(yrdC) mutational defect in t(6)A37 synthesis (Gerdes, 2011). yciO, rimN(yrdC) and hypF are paralogs.	87081864	P0AFR4	b1267	4254	JW5196	Null
EG12969	ECK1262	yciQ	yciP	aa	631	Clockwise	1324746	1326641	28.54	71289.08	enhancer of membrane protein expression; putative inner membrane protein	Null	DUF2207 family putative inner membrane protein; enhancer of cloned membrane protein expression	YciQ co-expression increases the overproduction of cloned membrane proteins (Skretas, 2010).	1787522	P45848	b1268	4256	JW5197	Null
EG12971	ECK2897	ygfF	yqfD	aa	247	Counterclockwise	3045158	3045901	65.61	25938.49	putative NAD(P)-dependent oxidoreductase	Putative enzyme; Not classified	Predicted oxidoreductase, COG1028 family; function unknown	2/12 YgfF peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed (Maillet, 2007).	2367175	P52037	b2902	9526	JW2870	Null
EG12972	ECK2915	scpB	mmcD, ygfG	aa	261	Clockwise	3063993	3064778	66.01	29172.59	methylmalonyl-CoA decarboxylase, biotin-independent	Enzyme; Not classified	Methylmalonyl-CoA decarboxylase	Part of a four gene operon encoding enzymes converting succinate to propionate.	87082183	P52045	b2919	9581	JW2886	Null
EG12973	ECK2916	scpC	ygfH	aa	492	Clockwise	3064802	3066280	66.03	53824.45	propionyl-CoA:succinate CoA transferase	Enzyme; Not classified	Propionyl CoA:succinate CoA transferase	Part of a four gene operon encoding enzymes converting succinate to propionate.	1789287	P52043	b2920	9583	JW2887	Null
EG12974	ECK2917	ygfI	None	aa	298	Counterclockwise	3066277	3067173	66.06	34673.67	putative DNA-binding transcriptional regulator	Putative regulator; Not classified	LysR-family transcriptional regulator, function unknown	Null	87082184	P52044	b2921	9585	JW5476	Null
EG12976	ECK2927	yggP	None	aa	425	Counterclockwise	3076179	3077456	66.27	45817.57	putative Zn-binding dehydrogenase	Null	Predicted Zn-binding dehydrogenase, function unknown	YggP has an N-terminal ADH-GroES-like domain (Pfam PF08240) and a central Zn-binding dehydrogenase domain (Pfam PF00107).	48994910	P52048	b4465	174095	JW5477	Null
EG12978	ECK2945	yggR	None	aa	326	Counterclockwise	3094100	3095080	66.66	35994.16	putative PilT family AAA+ ATPase	Putative transport; Not classified	PilT family predicted AAA+ ATPase, function unknown	YggR belongs to the TypeII/IV secretion system AAA+ ATPase family of PilT/GspE-like proteins (Pfam PF00437). gspE, hofB and yggR are paralogs.	87082188	P52052	b2950	9675	JW2917	Null
EG12979	ECK2946	yggS	None	aa	234	Clockwise	3095098	3095802	66.68	25787.44	UPF0001 family protein, PLP-binding	Putative enzyme; Not classified	UPF0001 family protein, PLP-binding; mutant has perturbed isoleucine/valine metabolism	A yggS mutant accumulates exogenous L-valine in stationary phase, accumulates 2-ketobutyrate in log phase, and has reduced availability of coenzyme A; the phenotypes of a yggS mutant can be reversed by pantothenate addition and can be complemented by wildtype yggS but not its PLP-binding site mutant deriviative; YggS has been proposed to be a regulator of isoleucine and valine metabolism (Ito, 2013). A yggS glyA double mutant is a synthetic lethal (Nichols, 2011). YggS is homologous to the N-terminal domain of alanine racemase but does not have racemase activity towards any of the 20 L- or D-amino acids (Ito, 2013). YggS is not required to help YggT in the K+ uptake rescue of TK420 (lacking K+ uptake systems Trk, Kup and Kdp) (Ito, 2009). YhfX and YggS are single domain proteins related to the N-terminal domains of both synthetic (Alr) and catabolic (DsdX) alanine racemases, which contain the covalently PLP-modified lysine residue N6-(pyridoxal phosphate)lysine; since YhfX and YggS lack the C-terminal Alr/DadX domains containing the L-alanine-specific binding site and proton-accepting active site, it is unlikely that these enzymes have alanine racemase activity. YggS has a covalently PLP-modified Lys36 N6-(pyridoxal phosphate)lysine residue (Sulzenbacher, G., Gruez, A., Spinelli, S., Roig-Zamboni, V., Pagot, F., Bignon, C., Vincentelli, R., Cambillau, C., unpublished PDB structure 1W8G, 2006). V. alginolyticus FkuA, a YggS homolog, confers K+ uptake (with FkuB, a YggT homolog) on E. coli TK420 (lacking K+ uptake systems Trk, Kup and Kdp) (Nakamura, 1996). yggS is in the MprA regulon (Marbach, 2012). 9/112 YggS peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed; 3/112 YggS peptide masses are consistent with some YggS molecules having the initial Met removed (Maillet, 2007).	1789321	P67080	b2951	9681	JW2918	Null
EG12980	ECK2947	yggT	None	aa	188	Clockwise	3095820	3096386	66.70	21167.11	putative inner membrane protein; compensates for loss in K+ uptake	Null	Predicted inner membrane protein; compensates for loss in K+ uptake	Although V. alginolyticus FkuAB stimulates K+ uptake, YggT appears to rescue TK420 (lacking K+ uptake systems Trk, Kup and Kdp) without increasing K+ uptake, through an unknown mechanism (Ito, 2009). Chromosomal yggT is probably not expressed since low level plasmid-based yggT expression was required for the rescue of TK420 (lacking K+ uptake systems Trk, Kup and Kdp) (Ito, 2009). YggS is not required to help YggT in the K+ uptake rescue of TK420 (lacking K+ uptake systems Trk, Kup and Kdp) (Ito, 2009). V. alginolyticus FkuB, a YggT homolog, confers K+ uptake (with FkuA, a YggS homolog) on E. coli TK420 (lacking K+ uptake systems Trk, Kup and Kdp) (Nakamura, 1996). YggT is the prototype for a family of proteins of unknown function (Pfam PF02325); YggT is comprised of two tandem YggT motifs.	1789322	P64564	b2952	9685	JW2919	Null
EG12981	ECK2948	yggU	None	aa	96	Clockwise	3096383	3096673	66.71	10456.19	UPF0235 family protein	Null	UPF0235 family protein, function unknown	Null	87082189	P52060	b2953	9690	JW5479	Null
EG12982	ECK2949	rdgB	yggV	aa	197	Clockwise	3096681	3097274	66.72	21038.84	dITP/XTP pyrophosphatase	Enzyme; Not classified	dITP/XTP pyrophosphatase, synthetic lethal with recA; mutant is hyper-recombinogenic	2'-deoxy-N-6-hydroxylaminopurine triphosphate (dHAPTP) is a preferred substrate (Burgis, 2006). Mutations in nfi suppress the synthetic lethality of an rdgB recA double mutant.	1789324	P52061	b2954	9692	JW2921	Null
EG12983	ECK2950	yggW	None	aa	378	Clockwise	3097267	3098403	66.73	42584.32	HemN family putative oxidoreductase	Putative enzyme; Not classified	HemN family predicted oxidoreductase, function unknown; Radical SAM superfamily	YggW has three predicted Fe-binding iron-sulfur centers and seven predicted SAM binding sites. A YggW ortholog is induced in a fur mutant in Shewanella oneidensi (Thompson, 2002).	1789325	P52062	b2955	9694	JW2922	Null
EG12984	ECK2957	yggX	None	aa	91	Clockwise	3104093	3104368	66.87	10952.53	oxidative damage protective factor for iron-sulfur proteins 	Null	Confers protection of iron-sulfur proteins against oxidative damage; paraquat resistance	SoxRS regulon. Cys7 is essential for YggX function in Salmonella; Salmonella YggX is involved in Fe(II) trafficking, but does not bind iron. otherPDB (S. typhimurium): 1XS8.	1789332	P0A8P3	b2962	9722	JW2929	Null
EG12986	ECK2958	mltC	yggZ	aa	359	Clockwise	3104433	3105512	66.88	40112.51	membrane-bound lytic murein transglycosylase C	Putative enzyme; Murein sacculus, peptidoglycan	Membrane-bound lytic transglycosylase C, murein hydrolase; periplasmic OM-attached lipoprotein	MltC is an exolytic transglycosylase that can degrade both non-crosslinked and crosslinked murein chains (Lee, 2013). MltC has a C-terminal lysozyme-like domain. The first 16 aa of MltC are a type II signal peptide. SoxRS regulon. A mutant lacking five murein hydrolases (amiABCmltCD=MHD90) has a delayed lysis phenotype after beta-lactam treatment (Heidrich, 2002).	; 87082191	P0C066	b2963	9725	JW5481	CG54700
EG12987	ECK2961	yqgA	None	aa	235	Clockwise	3109553	3110260	66.99	24613.91	DUF554 family putative inner membrane protein	Putative transport; Not classified	Predicted inner membrane protein, DUF554 family, function unknown	Null	1789338	Q46831	b2966	9736	JW2934	Null
EG12988	ECK2963	yghD	ecfC, gspMbeta	aa	178	Counterclockwise	3110590	3111126	67.01	20394.54	putative membrane-anchored secretion pathway M-type protein	Putative transport; Not classified	General secretion protein M beta	An intact Gsp-beta (T2SS-beta) locus was functionally characterized in ETEC strain H10407 (Strozen, 2012). GspM proteins have a short cytoplasmic N-terminal domain, a transmembrane domain, and a C-terminal periplasmic domain. The yghFED(gspCLM-beta) operon appears to have suffered a deletion including the gspDEFGHIJK-beta genes (7403 bp) between the yghF'(gspCbeta) and the yghLM(gspLMbeta) genes. The entire operon from an enterotoxigenic strains of E. coli is present in Genbank AY056599.	1789339	Q46832	b2968	9740	JW2935	Null
EG12989	ECK2964	yghE'	ecfB, gspLbeta	aa	320	Counterclockwise	3111128	3112090	67.03	35793.29	pseudogene, secretion pathway protein, L-type protein homology	Null	Pseudogene reconstruction, general secretion protein family; L-type; C-terminal fragment	An intact Gsp-beta (T2SS-beta) locus was functionally characterized in ETEC strain H10407 (Strozen, 2012). The K-12 yghFED(gspCLMbeta) operon appears to have suffered a deletion including the gspDEFGHIJK-beta genes (7403 bp) between the yghF'(gspCbeta) and the yghLM(gspLM-beta) genes. The stop codon of yghF' was removed, fusing 12 C-terminal residues out-of-frame but overlapping part of the fused yghE' gene. The N-terminal 74 residues of yghE' were removed by the deletion event. The entire operon from an enterotoxigenic strains of E. coli is present in Genbank AY056599.	1789340	Q46833	b2969	9742	JW5924	Null
EG12990	ECK2965	yghF'	ecfA, gspCbeta	aa	283	Counterclockwise	3112093	3112941	67.05	31363.20	pseudogene, secretion pathway protein, C-type protein homology	Putative transport; Not classified	Pseudogene, general secretion protein; N-terminal fragment	An intact Gsp-beta (T2SS-beta) locus was functionally characterized in ETEC strain H10407 (Strozen, 2012). The K-12 yghFED(gspCLMbeta) operon appears to have suffered a deletion including the gspDEFGHIJK-beta genes (7403 bp) between the yghF'(gspCbeta) and the yghLM(gspLM-beta) genes. The stop codon of yghF' was removed, fusing 12 C-terminal residues out-of-frame but overlapping part of the fused yghE' gene. The N-terminal 74 residues of yghE' were removed by the deletion event. The entire operon from an enterotoxigenic strains of E. coli is present in Genbank AY056599. The first 276 residues of YghF' are identical to the entire GspC-beta (YghF) of two enterotoxigenic ETEC strains of E. coli. The Genbank version of K-12's yghF' [gi:1789341] does not include the first 35 codons of this partial gene. It appears only the stop codon of the ancestral yghF was deleted, fusing on an additional 12 C-terminal residues. The yghFED promoter is active and the yghF gene is possibly functional despite the extra C-terminal residues present in the K-12 version of the gene, which are: YRLFCPPYWKKS. A CTG start codon 7 codons upstream is predicted to be the start codon since it makes a much better signal peptide, but since CTG is used so rarely as a start codon, this needs to be verified. The first 23 aa of YghF' are predicted to be a type I signal peptide.	1789341	Q46834	b2970	9745	JW5484	Null
EG12991	ECK2966	yghG	gspSbeta	aa	136	Counterclockwise	3113067	3113477	67.07	14669.92	secretin (GspDbeta) OM localization lipoprotein pilotin	Null	Pilotin, required for secretin (GspDbeta) OM localization; part of defective gsp-beta (T2SS-beta) operon; OM lipoprotein	YghG(GspSbeta) was characterized as an outer membrane lipoprotein that functions as a pilot protein (pilotin) required for proper assembly and localization of secretin (GspDbeta) in ETEC strain H10407; YghG is apparently not homologous to other pilotins, e.g. P. aeruginosa PilF and S. flexneri MxiM (Strozen, 2012). The E. coli K-12 gsp-beta (T2SS-beta) operon has a large internal deletion including the gspDbeta secretin gene. The first 24 aa of YghG are a type II signal peptide.	1789342	Q46835	b2971	9748	JW2938	Null
EG12992	ECK2967	pppA	yghH	aa	269	Counterclockwise	3113543	3114352	67.08	29466.06	bifunctional prepilin leader peptidase/ methylase	Putative enzyme; Not classified	Prepilin protein peptidase	The E. coli K-12 gsp-beta (T2SS-beta) operon has a large internal deletion. The K-12 PppA prepilin protein peptidase is able to process the K. oxytoca type IV pseudopilin PulG and the N. gonorrhoeae type IV pilin PilE and is translated at 37C and 42C but not 30C (Francetic, 1998). PppA is required for Gsp-beta function, as determined for the ETEC strain H10407 which has an intact gsp-beta (T2SS-beta) operon (Strozen, 2012). Assembly of the pseudopilus proteins (GspGK-beta) that presumably gate the secretin (GspDbeta) OM pore is proposed to require N-terminal processing by the PppA prepilin protein peptidase in intact Gsp (T2SS) systems; these pseudopilus protein genes are deleted in K-12 and thus its PppA prepilin protein peptidase may not have a native substrate anymore.	; 87082194	Q46836	b2972	9751	JW2939	CG58027
EG12994	ECK2968	sslE	acfD(V.c.), yghJ	aa	1520	Counterclockwise	3114550	3119112	67.10	167246.04	putative secreted and surface-associated lipoprotein mucinase	Null	Putative secreted and surface-associated lipoprotein mucinase	SslE has been characterized in the extraintestinal pathogenic E. coli strain IHE3034 as a likely extracellular lipoprotein mucinase (UniProt D5D0J3); a sslE deletion strain lacks extracellular mucinase activity and this defect can be complemented by plasmid-encoded SslE but is not complemented by a cloned active site mutated SslE (Nesta, 2014). Purified SslE(YghJ) from EPEC strain H10407 degrades MUC2 and MUC3 intestinal mucins in vitro, and an active site mutation abrogates activity (Luo, 2014). SslE(YghJ) is secreted by the type II secretion system T2SS-beta, is localized on the cell surface of pathogenic E. coli cells, and is required for biofilm formation, colonization and virulence (Moriel, 2010; Baldi, 2013; Nesta, 2014). An sslE mutation has no effect on adherence and biofilm formation in an atypical EPEC strain (Hernandes, 2013). The non-pathogenic E. coli W strain secretes SslE (Decanio, 2013). Since K-12 lacks an intact T2SS-beta it is unlikely that K-12 secretes SslE. Although sslE(yghJ) is adjacent to the gsp-beta (T2SS-beta) genes, it is not required for Gsp-beta function, as determined for the ETEC strain H10407 which has an intact gsp-beta (T2SS-beta) operon (Strozen, 2012). SslE(YghJ) is homologous to V. cholerae accessory colonization factor AcfD. SslE(YghJ) has a central DUF4092 domain. SslE(YghJ) has an M60 zinc metallopeptidase-like C-terminal domain (Pfam PF13402) associated with mucinase activity (Nakjang, 2012). The first 23 aa of SslE(YghJ) are predicted to be a type II signal peptide and the N-terminus of SslE from the prototype human EPEC strain E2348/69 is blocked from Edman degradation (Baldi, 2012).	48994912	P0CK95	b4466	174096	JW5925	Null
EG12995	ECK2969	glcA	yghK	aa	560	Counterclockwise	3119597	3121279	67.21	58920.16	glycolate transporter	Putative transport; Not classified	Glycolate permease; also recognizes lactate	IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003).	1789347	Q46839	b2975	9763	JW2942	Null
EG12996	ECK2973	glcE	gox, yghL	aa	350	Counterclockwise	3125470	3126522	67.34	38360.98	glycolate oxidase FAD binding subunit	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Glycolate oxidase subunit	Null	; 48994914	P52073	b4468	174098	JW5487	CG49979
EG12997	ECK2974	glcD	gox, yghM	aa	499	Counterclockwise	3126522	3128021	67.36	53811.70	glycolate oxidase subunit, FAD-linked	Enzyme; Degradation of small molecules: Carbon compounds	Glycolate oxidase subunit	Null	; 1789351	P0AEP9	b2979	9773	JW2946	CG49982
EG12998	ECK2975	glcC	yghN	aa	254	Clockwise	3128272	3129036	67.40	28826.18	glycolate-inducible glc operon transcriptional repressor; autorepressor	Regulator; Degradation of small molecules: Carbon compounds	Transcriptional reperssor for glc operon, glycolate-binding	GlcC is a GntR-type DNA-binding transcriptional regulator.	; 1789353	P0ACL5	b2980	9777	JW2947	CG49985
EG12999	ECK2976	yghO'	None	aa	366	Counterclockwise	3129043	3130143	67.41	41804.26	pseudogene, IS-interrupted	Null	Pseudogene, N-terminus-truncated; IS-interrupted; N-acetyltransferase superfamily	IS5LO has inserted into the N-terminus of yghO at codon 8, deleting the first 8 codons of yghO as well as any genes that were between yghO and yghQ. For example, E. coli CFT073 has eight genes (c3712-9) in the yghO-yghQ interval. The IS5LO-interrupted yghO alelle appears to be K-12 specific, indicating it could be a laboratory-acquired mutation. The missing eight N-terminal amino acids of an intact 374 aa YghO are MIKIEKVI, as can be found on any of the many intact alelles of yghO in other genomes, e.g. yghO of E. coli CFT073 (c3711). However, YghO of CFT073 is annotated as a 402 aa protein; yghO(c3711) has an annotated start codon 28 codons upstream of the probable start site; other alternate starts upstream of the conserved site are annotated variously across E. coli genomes. The MI start, but not the upstream alternate start codons, is conserved in all three YghO orthologs, all of which are annotated using the conserved MI start: Serratia marcescens SMWW4_v1c32720, Shimwellia blattae EBL_c39850, and Erwinia billingiae EbC_37190. Curiously, of 45 non-K-12 E. coli genomes with YghO alleles, only one (strain LF82) annotates the conserved yghO start codon (LF82_3204). In K-12 there are three upstream in-frame ATG codons encoded in IS5LO that possibly could be used to express a hybrid 'YghO. 	1789354	Q46840	b2981	9779	JW5848	Null
EG13001	ECK2977	yghQ	None	aa	355	Counterclockwise	3131341	3132408	67.46	38533.13	putative inner membrane polysaccharide flippase	Null	Predicted polysaccharide translocating flippase; inner membrane protein	YghQ belongs to a family (NCBI COG2244; Pfam PF13440) related to polysaccharide flippases (Wzx, RfbX) mediating the translocation of extracellular polysaccharides. YghQ is an inner membrane protein with six transmembrane helicies and the C-terminus in the periplasm (Daley, 2005). The IS5LO IS element has inserted immediately after the yghQ stop codon. 	48994915	Q46841	b2983	9786	JW5490	Null
EG13002	ECK2978	yghR	None	aa	252	Counterclockwise	3132454	3133212	67.49	28151.49	putative ATP-binding protein	Null	Predicted ATP-binding protein, function unknown	Null	1789357	P64572	b2984	9789	JW2952	Null
EG13003	ECK2979	yghS	None	aa	237	Counterclockwise	3133244	3133957	67.50	26346.70	putative ATP-binding protein	Null	Predicted ATP-binding protein, function unknown	Probable false positive lipoprotein prediction, Cys not conserved.	1789358	Q46843	b2985	9793	JW5491	Null
EG13004	ECK2980	yghT	None	aa	230	Clockwise	3134131	3134823	67.52	25355.58	putative ATP-binding protein	Null	Predicted ATP-binding protein, function unknown	Null	1789359	Q46844	b2986	9798	JW2954	Null
EG13005	ECK2983	yghU	None	aa	288	Clockwise	3138727	3139593	67.62	32391.62	putative S-transferase	Null	GSH-dependent disulfide bond oxidoreductase	There is another possible start codon 16 codons upstream, but this upstream start codon is not conserved. Using MS analysis, 1/107 peptides matched the longer N-terminus, but despite this observation the current start is retained as the most likely start codon (Maillet, 2007).	87082195	Q46845	b2989	9812	JW5492	Null
EG13006	ECK2991	hybO	yghV	aa	372	Counterclockwise	3145143	3146261	67.76	39652.01	hydrogenase 2, small subunit	Putative enzyme; Not classified	Hydrogenase-2 small subunit, periplasmic	Verified Tat substrate: HybO has a Tat-only (Class I) 37 aa signal peptide (Tullman-Ercek, 2007). Bound HybC is co-exported. HT_Cmplx26_Mem: HyaB+HybO.	; 1789371	P69741	b2997	9834	JW2965	CG67311
EG13007	ECK2992	yghW	None	aa	95	Counterclockwise	3146450	3146737	67.79	10945.50	DUF2623 family protein	Null	DUF2623 family protein, function unknown	Null	1789372	P64574	b2998	9839	JW2966	Null
EG13008	ECK2993	yghX'	yghY	aa	278	Counterclockwise	3146856	3147691	67.80	30180.17	pseudogene, dienlactone hydrolase family	Null	Pseudogene reconstruction, S9 peptidase family	A ModE-regulated promoter was identified downstream of the yghX gene that could generate an anti-yghX RNA of unknown function; a translation fusion indicated that a small protein encoded by a morA gene might be made from an anti-yghX mRNA, possibly a 63 aa MorA protein initiating at an unusual proline start codon; in vitro translation was not observed (Kurata, 2013). Although some apparent sequence conservation possibly due to yghX was observed in closely related bacteria, stop codons were present within the morA reading frame, indicating morA might not be a protein coding gene despite yielding some expression from a fusion construct; an E. coli ETEC H10407 strain contains a duplication elsewhere of the first 76 bases of the putative morA gene (K.E.R.). An apparent frameshift at codon 141 of yghX' was reconstructed and translated as an X.	1789373	Q7DFU6	b4658	9844; 9842	JW5926	Null
EG13010	ECK2995	gpr	mgrA, yghZ	aa	346	Clockwise	3147897	3148937	67.82	38832.16	L-glyceraldehyde 3-phosphate reductase	Null	L-glyceraldehyde 3-phosphate reductase, NADPH-dependent; glyoxal and glycolaldehyde reductase; glyoxal resistance protein	Gpr(YghZ) is a heme binding protein, but the heme is not required for Gpr activity (Desai, 2009). Gpr(YghZ) has moderate glyoxal and glycolaldehyde reductase activity and a gpr(yghZ) deletion mutant is glyoxal sensitive (Lee, 2013). Gpr(YghZ) is a weak methylglyoxal reductase and Gpr(YghZ) overexpression confers increased resistance to methylglyoxal. AKR14 family.	1789375	Q46851	b3001	9848	JW2970	Null
EG13011	ECK2996	yqhA	None	aa	164	Counterclockwise	3148977	3149471	67.84	18641.19	UPF0114 family putative inner membrane protein	Null	UPF0114 family predicted inner membrane protein; function unknown	The yghA-yqhA divergent operon promoter region binds FNR (Federowicz, 2014).	1789376	P67244	b3002	9850	JW2971	Null
EG13013	ECK3002	yqhC	None	aa	318	Counterclockwise	3154262	3155218	67.96	35956.72	transcriptional activator of yqhD	Regulator; Not classified	Transcriptional activator of yqhD; aldehyde sensor	Mutations in yqhC conferring constitutive activation of yqhD were isolated as glyoxal-resistant mutants; YqhC was shown to bind and activate the yqhD promoter (Lee, 2010). An IS10 insertion in yqhC confers furfural resistance; YqhC is a transcriptional activator of yqhD and dkgA(yqhE) (Turner, 2010). AraC family.	87082197	Q46855	b3010	9884	JW5849	Null
EG13014	ECK3003	yqhD	None	aa	387	Clockwise	3155355	3156518	67.98	42097.02	aldehyde reductase, NADPH-dependent	Enzyme; Degradation of small molecules: Carbon compounds	Aldehyde reductase, NADPH-dependent; glyoxal and glycolaldehyde reductase; AdhZ1; protects against lipid oxidation; glyoxal resistance protein; furfural reductase; contains Zn; homodimer	HT_Cmplx40_Cyt: YbgI+YqhD. YqhD is induced under conditions that favor lipid oxidation; overexpression increases resistance to paraquat, hydrogen peroxide and the lipid peroxidation-derived aldehydes butanaldehyde, propanaldehyde, acrolein and malondialdehyde; yqhD mutants are senstive to paraquat and hydrogen peroxide (Perez, 2008). YqhD catalyzes the NADPH-dependent reduction of acetaldehyde, malondialdehyde, propanaldehyde, butanaldehyde and acrolein in vitro (Perez, 2008). YqhD was reported to have no aldehyde dehydrogenase activity and to have in vitro alcohol dehydrogenase activity with a preference for alcohols longer than C3, however these results were later contradicted (Sulzenbacher, 2004; Perez, 2009). Mutations in yqhC conferring constitutive activation of yqhD were isolated as glyoxal-resistant mutants; YqhC was shown to bind and activate the yqhD promoter (Lee, 2010).	1789386	Q46856	b3011	9888	JW2978	Null
EG13015	ECK3004	dkgA	yqhE	aa	275	Clockwise	3156623	3157450	68.01	31109.64	2,5-diketo-D-gluconate reductase A	Null	2,5-diketo-D-gluconate reductase A; 2-methylacetoacetate reductase, NADPH-dependent; beta-keto ester reductase; glyoxal reductase	DkgA(YqhE) has moderate glyoxal reductase activity and weak glycolaldehyde reductase activity; deletion of dkgA(yqhE) does not increase sensitivity to glyoxal, glycolaldehyde or methylglyoxal (Lee, 2013).	; 87082198	Q46857	b3012	9892	JW5499	CG76126
EG13017	ECK3005	yqhG	yqhF	aa	308	Clockwise	3157650	3158576	68.03	34983.21	DUF3828 family putative periplasmic protein	Null	Predicted DUF3828 family periplasmic protein; function unknown	The first 18 aa of YqhG are predicted to be a type I signal peptide.	48994916	Q46858	b3013	9895	JW5500	Null
EG13018	ECK3006	yqhH	None	aa	85	Clockwise	3158627	3158884	68.05	9513.04	outer membrane lipoprotein, Lpp paralog	Null	Novel verified lipoprotein, Lpp paralog, function unknown	The first 19 aa of YqhH are a type II signal peptide.	1789390	P65298	b3014	9898	JW2982	Null
EG13019	ECK3007	ygiQ	ygiR	aa	739	Counterclockwise	3158927	3161146	68.06	83477.84	Radical SAM superfamily protein	Null	Radical SAM superfamily protein, function unknown	The YgiQ Radical SAM protein has a predicted B12 binding site in its N-terminal domain (K.E.R., unpublished observation). UPF0313 family.	48994917	Q46861	b4469	174099	JW5501	Null
EG13021	ECK3011	ygiS	None	aa	535	Counterclockwise	3166111	3167718	68.21	60693.95	putative ABC transporter permease	Putative transport; Not classified	Putative ABC transporter permease	The first 20 aa of YgiS are predicted to be a type I signal peptide.	1789397	Q46863	b3020	9920	JW2988	Null
EG13022	ECK3012	mqsA	ygiT	aa	131	Counterclockwise	3167851	3168246	68.25	14703.10	antitoxin for MqsR toxin; transcriptional repressor	Null	Antitoxin for MqsR toxin; transcriptional repressor	mqsA(ygiT) was identified as a multicopy suppressor of a carA deletion (Patrick, 2007). Toxin MsqR could not be cloned in an ara vector unless antitoxin MqsA(YgiT) is upregulated (Shah, 2006). MqsR destabilizes the MqsA repressor-DNA complex by tightly binding MqsA (Brown, 2012).	1789398	Q46864	b3021	9923	JW2989	Null
EG13023	ECK3013	mqsR	ygiU	aa	98	Counterclockwise	3168248	3168544	68.26	11231.96	GCU-specific mRNA interferase toxin of the MqsR-MqsA toxin-antitoxin system; biofilm/motility regulator; anti-repressor	Null	GCU-specific mRNA interferase, toxin-antitoxin pair MqsRA; motility, quorum-sensing biofilm regulator; works through QseBC and AI-2; anti-repressor	mqsR is induced during biofilm formation. Toxin MqsR could not be cloned in an ara vector unless antitoxin MqsA(YgiT) is upregulated (Shah, 2006). MqsR destabilizes the MqsA repressor-DNA complex by tightly binding MqsA (Brown, 2012). Toxin endoribonuclease MqsR degrades ghoS antitoxin mRNA but not ghoT toxin mRNA, amplifying the GhoT toxin production as a stress response (Wang, 2013). MqsR induction increases GhoT production; GhoT is localized to poles and does not cause cell lysis during normal physiology but does impair membrane function, causing a reduction of cellular ATP and PMF energy sources, a lowered metabolism, and an increase in the number of persistent (dormant) cells formed in the presence of antibiotics (Cheng, 2013).	1789399	Q46865	b3022	9925	JW2990	Null
EG13024	ECK3014	ygiV	None	aa	160	Counterclockwise	3168749	3169231	68.27	17827.26	transcriptional repressor for mcbR biofilm gene	Null	Represses mcbR, involved in biofilm regulation	Null	48994918	Q46866	b3023	9928	JW5502	Null
EG13025	ECK3015	ygiW	None	aa	130	Counterclockwise	3169284	3169676	68.28	14010.76	hydrogen peroxide and cadmium resistance periplasmic protein; stress-induced OB-fold protein	Null	Hydrogen peroxide and cadmium resistance periplasmic protein; stress-induced OB fold domain protein; binds CsrB sRNA	A ygiW mutant strain is sensitive to hydrogen peroxide and cadmium (Lee, 2010). YgiW was identified as a CsrB sRNA binding protein (Windbichler, 2008). YgiW has a bacterial OB fold domain (BOF, PF04076) (Ginalski, 2004). ydeI and ygiW are paralogs.	1789401	P0ADU5	b3024	9930	JW2992	Null
