	Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose 	Succinate	Fructose
903	P09029	N5-carboxyaminoimidazole ribonucleotide synthase OS=Escherichia coli (strain K12) GN=purK PE=1 SV=2	purK	7	416.66	39418.26516	2	227	185	207.0	91	139	164	165	212	137	79	60	47	76	81	276	340	274	287.0	256.0	127	226	318.0
904	P39377	Isoaspartyl dipeptidase OS=Escherichia coli (strain K12) GN=iadA PE=1 SV=1	iadA	7	439.67	41040.22097	2	223	511	425.0	116	125	136	119	102	111	93	60	46	112	131	236	206	209	190.0	107.0	60	146	145.0
905	P41409	Pyrimidine-specific ribonucleoside hydrolase rihA OS=Escherichia coli (strain K12) GN=rihA PE=1 SV=2	rihA	7	330.28	33783.39389	2	143	1192	583.0	217	307	290	268	224	328	228	162	146	50	50	97	86	80	125.0	274.0	144	309	240.0
906	P22564	Non-specific ribonucleoside hydrolase rihC OS=Escherichia coli (strain K12) GN=rihC PE=1 SV=1	rihC	7	415.34	32521.711769999998	2	42	1217	735.0	211	366	154	212	255	292	382	328	283	47	49	63	52	28	62.0	315.0	137	258	86.0
907	P07639	3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1	aroB	7	515.44	38838.30699	2	305	248	271.0	212	221	238	250	271	210	226	215	173	68	49	328	403	332	276.0	258.0	244	247	260.0
908	P00887	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) GN=aroH PE=3 SV=4	aroH	7	496.42	38692.6325	2	300	175	115.0	100	141	167	166	136	171	118	69	66	129	119	311	339	373	221.0	143.0	149	187	254.0
909	P0AED7	Succinyl-diaminopimelate desuccinylase OS=Escherichia coli (strain K12) GN=dapE PE=1 SV=1	dapE	7	417.64	41224.8347	2	74	154	95.0	51	47	59	60	54	80	69	51	39	25	32	93	47	130	85.0	45.0	40	69	95.0
910	P60664	Imidazole glycerol phosphate synthase subunit hisF OS=Escherichia coli (strain K12) GN=hisF PE=1 SV=1	hisF	7	497.13	28418.561680000003	2	1029	180	1418.0	279	455	594	838	598	456	372	398	259	283	284	702	1136	841	659.0	658.0	555	556	754.0
911	P00861	Diaminopimelate decarboxylase OS=Escherichia coli (strain K12) GN=lysA PE=1 SV=1	lysA	7	596.13	46130.412619999996	2	726	169	146.0	369	622	513	712	545	736	516	326	194	144	146	693	681	851	770.0	492.0	377	724	960.0
912	P40874	N-methyl-L-tryptophan oxidase OS=Escherichia coli (strain K12) GN=solA PE=1 SV=1	solA	7	595.52	40858.33116	2	813	502	528.0	342	453	460	534	533	407	364	302	266	200	193	763	682	683	511.0	495.0	361	483	555.0
913	P09158	Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2	speE	7	450.06	32282.72207	2	1040	1133	779.0	314	661	593	540	421	555	373	307	263	154	170	796	549	513	469.0	486.0	457	490	572.0
914	P0A6L4	N-acetylneuraminate lyase OS=Escherichia coli (strain K12) GN=nanA PE=1 SV=2	nanA	7	558.91	32554.821389999997	2	81	5950	810.0	93	168	156	174	123	131	144	94	60	2	7	24	45	13	70.0	196.0	40	151	83.0
915	P22731	High-affinity branched-chain amino acid transport ATP-binding protein LivF OS=Escherichia coli (strain K12) GN=livF PE=1 SV=2	livF	7	273.98	26275.61303	2	220	67	81.0	103	303	231	281	260	207	192	187	144	103	82	306	224	168	197.0	157.0	225	223	199.0
916	P69874	Spermidine/putrescine import ATP-binding protein PotA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1	potA	7	515.95	42982.98678	2	249	530	431.0	135	188	206	184	114	243	205	136	146	146	120	207	219	222	276.0	192.0	132	202	236.0
917	Q5H777	Gamma-glutamylputrescine synthetase OS=Escherichia coli (strain K12) GN=puuA PE=3 SV=1	puuA	7	318.56	53125.22576	2	122	95	151.0	283	145	240	84	61	306	521	505	416	32	40	79	71	40	63.0	147.0	253	98	95.0
918	P33360	Putative osmoprotectant uptake system ATP-binding protein YehX OS=Escherichia coli (strain K12) GN=yehX PE=2 SV=1	yehX	7	343.73	34384.89123	1	118	71		28	116	95	167	122	116	238	42	158	8	180	74	81	153			92	110	
919	P0ADQ2	Uncharacterized protein yiiD OS=Escherichia coli (strain K12) GN=yiiD PE=4 SV=1	yiiD	7	400.26	37052.70236	2	134	200	132.0	156	178	162	151	164	178	278	190	206	131	114	124	307	229	148.0	168.0	175	167	158.0
920	P0A9R7	Cell division ATP-binding protein FtsE OS=Escherichia coli (strain K12) GN=ftsE PE=1 SV=1	ftsE	7	311.74	24405.87198	2	250	330	325.0	144	206	247	266	288	233	209	171	193	174	216	309	419	285	321.0	313.0	276	309	377.0
921	P46889	DNA translocase ftsK OS=Escherichia coli (strain K12) GN=ftsK PE=1 SV=2	ftsK	7	327.87	146553.5019	2	33	66	37.0	13	19	30	25	19	31	20	18	16	3	5	14	52	18	26.0	29.0	10	23	30.0
922	P0A734	Cell division topological specificity factor OS=Escherichia coli (strain K12) GN=minE PE=1 SV=1	minE	7	366.77	10210.47912	2	2057	4004	3044.0	2049	2533	2817	2871	2914	2587	2619	2042	1983	576	576	3370	3192	2432	3040.0	3111.0	2309	3041	2998.0
923	P60293	Chromosome partition protein mukF OS=Escherichia coli (strain K12) GN=mukF PE=1 SV=1	mukF	7	462.33	50529.6168	2	54	122	93.0	35	50	46	54	45	54	50	46	42	10	7	33	41	21	45.0	41.0	28	37	35.0
924	P20605	Probable adenosine monophosphate-protein transferase fic OS=Escherichia coli (strain K12) GN=fic PE=1 SV=1	fic	7	519.45	22927.44971	1	283	142		190	145	241	168	131	146	184	238	282	216	406	187	141	199			195	82	
925	P61949	Flavodoxin-1 OS=Escherichia coli (strain K12) GN=fldA PE=1 SV=2	fldA	7	563.06	19706.53052	2	8651	12231	12152.0	5555	6504	9717	7989	6927	5684	4582	4047	4503	8193	8168	13420	13509	14311	8840.0	8072.0	7137	7806	9543.0
926	P09148	Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2	galT	7	318.35	39602.516189999995	2	151	482	340.0	102	120	150	147	172	109	115	91	77	56	70	132	168	115	136.0	138.0	791	116	110.0
927	P0A9S1	Lactaldehyde reductase OS=Escherichia coli (strain K12) GN=fucO PE=1 SV=1	fucO	7	322.14	40600.70263	2	41	234	67.0	211	127	118	83	102	91	154	195	247	54	54	24	41	41	53.0	135.0	189	133	50.0
928	P0ACD8	Hydrogenase-1 large chain OS=Escherichia coli (strain K12) GN=hyaB PE=1 SV=1	hyaB	7	322.87	66193.03	2	1	3	1.0	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1.0	1.0	1	1	1.0
929	P23883	Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=puuC PE=3 SV=2	puuC	7	591.95	53367.43457	2	116	43	61.0	28	51	169	72	58	391	570	229	43	5	10	67	24	23	95.0	369.0	27	70	166.0
930	P52643	D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=ldhA PE=1 SV=1	ldhA	7	335.98	36493.43166	2	566	619	421.0	365	381	480	519	546	641	568	560	592	644	367	299	579	595	348.0	360.0	276	230	184.0
931	P76594	Uncharacterized protein yfiQ OS=Escherichia coli (strain K12) GN=yfiQ PE=4 SV=1	yfiQ	7	430.83	97907.95641	2	17	19	13.0	24	42	33	24	44	49	71	98	125	9	16	17	16	13	16.0	43.0	44	32	20.0
932	P77212	Probable pyridine nucleotide-disulfide oxidoreductase ykgC OS=Escherichia coli (strain K12) GN=ykgC PE=3 SV=2	rclA	7	365.65	48195.911889999996	2	18	30	33.0	21	20	78	18	14	23	36	51	55	126	117	79	25	155	27.0	24.0	56	26	21.0
933	P0A784	Oligoribonuclease OS=Escherichia coli (strain K12) GN=orn PE=1 SV=2	orn	7	363.22	20784.474980000003	2	509	627	529.0	377	384	420	411	382	315	255	224	219	380	356	717	782	947	595.0	501.0	465	498	555.0
934	P07102	Periplasmic AppA protein OS=Escherichia coli (strain K12) GN=appA PE=1 SV=2	appA	7	353.53	47009.323580000004	2	9	14	24.0	5	6	8	6	7	14	11	17	18	51	79	15	30	79	5.0	6.0	9	6	7.0
935	P0AD59	Inhibitor of vertebrate lysozyme OS=Escherichia coli (strain K12) GN=ivy PE=1 SV=1	ivy	7	425.22	16843.302190000002	2	1704	1180	1344.0	1388	1467	1417	1074	1333	1370	1503	1397	1362	2355	2629	3481	3281	3066	2656.0	1161.0	1199	1046	930.0
936	P0ADX7	Uncharacterized protein yhhA OS=Escherichia coli (strain K12) GN=yhhA PE=4 SV=1	yhhA	7	621.92	16595.39276	2	107	132	112.0	159	129	409	117	109	100	153	147	192	3178	2233	347	276	559	120.0	148.0	290	102	114.0
937	P0ADK0	Uncharacterized protein yiaF OS=Escherichia coli (strain K12) GN=yiaF PE=4 SV=2	yiaF	7	345.63	25628.95569	2	1714	3055	2134.0	1093	1245	1261	1237	1178	1121	1005	818	850	1256	1169	1837	2139	1985	1455.0	1232.0	1011	1235	1387.0
938	P65556	Uncharacterized Nudix hydrolase yfcD OS=Escherichia coli (strain K12) GN=yfcD PE=1 SV=1	yfcD	7	495.39	20344.90063	2	1419	2932	2904.0	1060	1264	1195	1203	1165	1801	1413	1046	878	274	457	1577	1141	842	1163.0	706.0	869	870	1015.0
939	P62517	Glucans biosynthesis glucosyltransferase H OS=Escherichia coli (strain K12) GN=mdoH PE=1 SV=1	mdoH	7	470.7	96856.94256	2	84	102	120.0	43	50	61	43	77	125	100	93	91	45	46	35	75	82	74.0	70.0	40	82	73.0
940	P27828	UDP-N-acetylglucosamine 2-epimerase OS=Escherichia coli (strain K12) GN=wecB PE=1 SV=2	wecB	7	336.34	42199.906689999996	2	116	206	114.0	37	54	64	56	53	51	33	21	16	59	41	107	107	92	71.0	49.0	29	52	68.0
941	P40120	Glucans biosynthesis protein D OS=Escherichia coli (strain K12) GN=mdoD PE=1 SV=3	mdoD	7	294.91	62699.58932000001	2	93	100	109.0	56	84	68	94	86	48	48	43	37	23	16	21	51	30	54.0	68.0	38	66	72.0
942	P0AF12	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli (strain K12) GN=mtnN PE=1 SV=1	mtnN	7	603.08	24320.561990000002	2	2180	3544	3433.0	1354	1784	2062	1996	1969	2290	1702	1383	1137	2097	2097	4841	2317	3940	2804.0	1863.0	2159	2065	2506.0
943	P75957	Lipoprotein-releasing system ATP-binding protein LolD OS=Escherichia coli (strain K12) GN=lolD PE=1 SV=2	lolD	6	342.71	25404.21205	2	500	731	543.0	292	336	420	406	418	336	259	224	164	249	234	414	397	466	440.0	400.0	243	371	513.0
944	P08956	Type I restriction enzyme EcoKI R protein OS=Escherichia coli (strain K12) GN=hsdR PE=3 SV=3	hsdR	6	232.09	133993.5805	2	4	36	16.0	5	10	6	7	5	7	5	3	5	4	1	2	2	1	6.0	9.0	7	12	6.0
945	P36879	Uncharacterized ABC transporter ATP-binding protein YadG OS=Escherichia coli (strain K12) GN=yadG PE=1 SV=1	yadG	6	268.55	34607.32501	2	272	593	331.0	135	133	125	252	119	275	211	181	186	80	66	91	152	146	198.0	215.0	131	272	191.0
946	P60752	Lipid A export ATP-binding/permease protein MsbA OS=Escherichia coli (strain K12) GN=msbA PE=1 SV=1	msbA	6	332.77	64401.5979	2	152	428	203.0	82	91	158	117	117	152	152	137	127	56	53	89	67	82	140.0	129.0	68	100	171.0
947	P69428	Sec-independent protein translocase protein tatA OS=Escherichia coli (strain K12) GN=tatA PE=1 SV=1	tatA	6	388.32	9640.02352	2	2477	4227	3284.0	973	1654	2050	1799	1794	1587	1336	1219	1164	1320	1223	2384	2659	2367	1793.0	1666.0	1386	1441	1955.0
948	P0ABU7	Biopolymer transport protein exbB OS=Escherichia coli (strain K12) GN=exbB PE=1 SV=1	exbB	6	491.45	26252.84497	2	819	561	1137.0	456	642	698	697	735	814	474	329	226	242	236	1399	1565	1200	1370.0	637.0	371	862	1347.0
949	P00803	Signal peptidase I OS=Escherichia coli (strain K12) GN=lepB PE=1 SV=2	lepB	6	267.05	35919.47649	2	147	257	199.0	82	121	140	136	131	135	114	99	102	78	61	102	169	123	147.0	129.0	100	109	148.0
950	P0AG93	Protein-export membrane protein secF OS=Escherichia coli (strain K12) GN=secF PE=1 SV=1	secF	6	389.24	35341.59237	2	465	1250	963.0	928	635	790	544	495	792	719	574	576	265	183	233	407	327	353.0	473.0	271	478	560.0
951	P37177	Phosphoenolpyruvate-protein phosphotransferase ptsP OS=Escherichia coli (strain K12) GN=ptsP PE=3 SV=2	ptsP	6	546.71	83644.74272000001	2	42	55	42.0	37	36	57	42	38	72	73	66	54	17	24	26	50	50	75.0	68.0	31	54	68.0
952	P39838	Sensor-like histidine kinase RcsD OS=Escherichia coli (strain K12) GN=rcsD PE=1 SV=3	rcsD	6	281.77	100291.5654	2	33	34	41.0	32	39	47	36	39	56	46	41	36	35	38	46	91	64	54.0	38.0	40	36	53.0
953	P39396	Inner membrane protein YjiY OS=Escherichia coli (strain K12) GN=yjiY PE=1 SV=2	yjiY	6	332.22	77255.23221	2	14	459	27.0	5	5	7	14	1035	8	6	7	6	39	40	35	7	130	11.0	15.0	10	11	19.0
954	P21866	KDP operon transcriptional regulatory protein kdpE OS=Escherichia coli (strain K12) GN=kdpE PE=1 SV=3	kdpE	6	224.33	25328.484519999998	1	59	60		35	15	70	26	21	24	53	19	27	13	16	75	43	82			32	25	
955	P77213	Carboxylate-amine ligase YbdK OS=Escherichia coli (strain K12) GN=ybdK PE=1 SV=1	ybdK	6	291.51	41643.68948	2	53	44	45.0	85	72	78	83	47	55	61	73	69	80	79	83	71	116	75.0	116.0	119	73	96.0
956	P75838	UPF0142 protein ycaO OS=Escherichia coli (strain K12) GN=ycaO PE=3 SV=2	ycaO	6	413.2	65592.12147	2	437	1063	637.0	91	142	167	182	119	160	129	82	74	31	29	158	120	131	185.0	153.0	74	196	257.0
957	P0AB43	UPF0745 protein YcgL OS=Escherichia coli (strain K12) GN=ycgL PE=1 SV=2	ycgL	6	162.28	11221.80465	2	127	127	135.0	68	83	84	104	101	81	64	47	38	58	66	119	201	148	103.0	85.0	95	72	127.0
958	P21362	Protein yciF OS=Escherichia coli (strain K12) GN=yciF PE=1 SV=1	yciF	6	525.1	18567.66099	2	270	112	132.0	690	410	478	358	214	400	467	849	1053	885	809	604	562	513	167.0	410.0	955	241	166.0
959	P31130	Uncharacterized protein ydeI OS=Escherichia coli (strain K12) GN=ydeI PE=4 SV=1	ydeI	6	332.16	14094.21224	2	110	137	75.0	97	81	157	76	56	77	98	151	220	460	424	232	63	244	42.0	64.0	162	28	40.0
960	P77148	Uncharacterized protein ydhS OS=Escherichia coli (strain K12) GN=ydhS PE=1 SV=1	ydhS	6	277.84	60698.9436	2	42	32	35.0	80	66	54	52	32	79	85	109	93	39	36	53	31	72	29.0	34.0	51	29	21.0
961	P64483	Uncharacterized protein yeaK OS=Escherichia coli (strain K12) GN=yeaK PE=4 SV=1	yeaK	6	293.43	17821.382019999997	2	438	562	479.0	406	382	301	387	388	595	459	372	305	45	30	957	476	550	554.0	289.0	338	279	422.0
962	P33218	Inner membrane protein yebE OS=Escherichia coli (strain K12) GN=yebE PE=1 SV=2	yebE	6	394.67	23654.409509999998	2	480	118	169.0	353	534	364	922	1644	123	150	135	155	56	92	149	581	68	411.0	772.0	376	350	852.0
963	P76402	UPF0339 protein yegP OS=Escherichia coli (strain K12) GN=yegP PE=1 SV=2	yegP	6	441.09	11998.96227	2	386	165	111.0	349	433	542	367	269	355	418	486	629	1412	1223	727	562	1000	307.0	457.0	874	317	288.0
964	P0ADS6	Uncharacterized protein yggE OS=Escherichia coli (strain K12) GN=yggE PE=4 SV=1	yggE	6	338.99	26600.773709999998	2	948	1276	1067.0	674	832	789	863	692	954	816	600	700	1083	1282	1204	1778	1460	992.0	962.0	944	932	862.0
965	P0ADU5	Protein ygiW OS=Escherichia coli (strain K12) GN=ygiW PE=1 SV=1	ygiW	6	320.89	13984.046369999998	2	1669	2167	3146.0	1709	2213	2688	2844	1595	1721	1849	2182	2335	8382	7045	5031	2775	6642	1668.0	2195.0	2210	1688	1618.0
966	P0ADP9	Protein yihD OS=Escherichia coli (strain K12) GN=yihD PE=1 SV=1	yihD	6	279.39	10248.426	2	2511	3565	2134.0	1597	1546	2012	1514	1687	1684	1849	1768	1522	497	368	1999	2964	2326	1817.0	1445.0	893	1246	1375.0
967	P77214	Cation efflux system protein CusF OS=Escherichia coli (strain K12) GN=cusF PE=1 SV=1	cusF	6	324.99	12225.27043	2	29517	1548	1473.0	21140	28965	5118	39220	19299	12582	11219	5782	4886	1440	1296	4740	17581	19261	10240.0	31343.0	15480	28457	34791.0
968	Q46920	NADPH-dependent 7-cyano-7-deazaguanine reductase OS=Escherichia coli (strain K12) GN=queF PE=1 SV=1	queF	6	239.39	32549.27527	2	59	92	100.0	28	53	58	64	51	56	37	36	28	29	39	55	59	74	46.0	37.0	31	49	71.0
969	P64530	Transcriptional repressor rcnR OS=Escherichia coli (strain K12) GN=rcnR PE=1 SV=1	rcnR	6	280.74	10109.49097	2	494	127	332.0	336	401	395	393	435	259	262	257	241	336	420	558	482	476	337.0	290.0	282	291	224.0
970	P0A8A8	Ribosome maturation factor rimP OS=Escherichia coli (strain K12) GN=rimP PE=1 SV=2	rimP	6	212.86	16622.515890000002	2	609	1246	1014.0	381	435	669	507	356	403	309	281	224	374	323	943	876	639	578.0	308.0	280	355	514.0
971	P0A8X0	UPF0307 protein yjgA OS=Escherichia coli (strain K12) GN=yjgA PE=1 SV=1	yjgA	6	280.59	21328.295130000002	2	166	435	280.0	157	159	184	150	111	129	116	108	115	209	219	197	221	308	157.0	167.0	131	119	136.0
972	Q46868	Uncharacterized protein yqiC OS=Escherichia coli (strain K12) GN=yqiC PE=1 SV=2	yqiC	6	243.5	11251.07678	2	1520	1617	1537.0	890	1197	1275	1314	1019	1008	747	716	664	464	327	1650	1943	1691	1385.0	1046.0	911	1074	1265.0
973	P0AF36	Cell division protein ZapB OS=Escherichia coli (strain K12) GN=zapB PE=1 SV=1	zapB	6	612.05	9610.79805	2	10839	17591	13745.0	8451	6621	7419	8727	7765	8404	6656	4934	4293	2641	2333	10477	10488	7872	8457.0	6681.0	4126	4364	8105.0
974	P66948	TPR repeat-containing protein yfgC OS=Escherichia coli (strain K12) GN=yfgC PE=4 SV=1	bepA	6	382.33	53856.32464	2	177	140	140.0	171	170	176	187	210	104	120	151	144	147	80	235	303	385	238.0	229.0	279	231	224.0
975	P23827	Ecotin OS=Escherichia coli (strain K12) GN=eco PE=1 SV=1	eco	6	427.58	18162.390880000003	2	214	3877	1636.0	200	145	175	136	134	219	466	400	293	315	241	427	153	186	235.0	143.0	79	200	117.0
976	P0AFZ3	Stringent starvation protein B OS=Escherichia coli (strain K12) GN=sspB PE=1 SV=1	sspB	6	331.45	18233.05384	2	353	713	546.0	204	285	279	277	303	201	159	132	100	87	105	379	290	399	349.0	230.0	152	233	219.0
977	P75736	Esterase ybfF OS=Escherichia coli (strain K12) GN=ybfF PE=1 SV=1	ybfF	6	402.54	28401.48347	2	204	165	225.0	180	203	214	206	240	173	156	122	87	97	70	191	199	183	156.0	167.0	124	207	172.0
978	P21829	Phosphatase YbhA OS=Escherichia coli (strain K12) GN=ybhA PE=3 SV=3	ybhA	6	259.54	30164.13345	2	352	593	639.0	145	212	181	253	219	185	83	35	14	6	1	271	258	220	304.0	219.0	79	305	331.0
979	P67095	Phosphodiesterase yfcE OS=Escherichia coli (strain K12) GN=yfcE PE=1 SV=1	yfcE	6	448.86	20091.35787	2	907	1310	881.0	471	538	784	584	610	697	520	475	439	619	725	1326	1792	1495	901.0	548.0	600	587	672.0
980	P77775	Epimerase family protein yfcH OS=Escherichia coli (strain K12) GN=yfcH PE=3 SV=1	yfcH	6	391.11	32660.18647	2	95	90	87.0	146	132	154	112	129	111	146	201	241	193	171	91	161	139	91.0	138.0	222	110	101.0
981	P67080	UPF0001 protein yggS OS=Escherichia coli (strain K12) GN=yggS PE=1 SV=1	yggS	6	277.52	25753.32927	2	208	297	224.0	127	164	168	192	176	142	136	94	83	67	76	240	184	181	187.0	146.0	110	136	151.0
982	P46852	Probable quercetin 2,3-dioxygenase yhhW OS=Escherichia coli (strain K12) GN=yhhW PE=1 SV=1	yhhW	6	265.14	26244.93963	2	81	80	116.0	80	122	90	121	75	66	75	85	113	114	129	157	132	140	114.0	105.0	180	103	109.0
983	P37648	Protein yhjJ OS=Escherichia coli (strain K12) GN=yhjJ PE=1 SV=1	yhjJ	6	433.06	55474.620010000006	2	116	193	87.0	65	74	78	82	142	52	56	66	87	101	62	102	209	169	76.0	72.0	108	46	79.0
984	P42641	GTPase ObgE/CgtA OS=Escherichia coli (strain K12) GN=obgE PE=1 SV=1	obgE	6	517.35	43240.699160000004	2	418	1038	753.0	291	319	276	310	307	334	318	261	303	100	117	166	194	155	297.0	325.0	298	325	354.0
985	Q5H776	Gamma-glutamyl-gamma-aminobutyrate hydrolase OS=Escherichia coli (strain K12) GN=puuD PE=4 SV=1	puuD	6	270.75	27977.378419999997	2	114	30	64.0	43	63	156	35	34	214	418	245	91	10	6	78	16	10	29.0	117.0	20	36	47.0
986	P75876	Ribosomal RNA large subunit methyltransferase I OS=Escherichia coli (strain K12) GN=rlmI PE=1 SV=2	rlmI	6	359.56	44310.82805	2	172	429	412.0	92	120	146	154	140	168	122	101	95	78	156	217	204	386	297.0	181.0	127	167	349.0
987	Q46948	Chaperone protein YajL OS=Escherichia coli (strain K12) GN=yajL PE=1 SV=2	yajL	6	365.57	20745.93029	2	370	444	388.0	322	293	393	376	361	363	314	267	227	338	283	1030	482	775	533.0	319.0	327	362	491.0
988	P64429	Uncharacterized protein ypfJ OS=Escherichia coli (strain K12) GN=ypfJ PE=4 SV=1	ypfJ	6	345.36	31422.2905	2	126	99	99.0	97	104	169	136	101	125	109	111	105	86	224	221	151	159	145.0	72.0	140	96	80.0
989	P64596	Uncharacterized protein yraP OS=Escherichia coli (strain K12) GN=yraP PE=4 SV=1	yraP	6	337.51	19997.671980000003	2	754	1312	891.0	487	709	817	793	819	688	575	499	453	985	741	1231	1026	1114	739.0	633.0	637	553	630.0
990	P42624	Pirin-like protein yhaK OS=Escherichia coli (strain K12) GN=yhaK PE=1 SV=1	yhaK	6	280.01	25861.24008	1	33	8		19	60	16	18	19	18	23	11	15	68	45	21	32	13			9	30	
991	P27848	Uncharacterized protein YigL OS=Escherichia coli (strain K12) GN=yigL PE=3 SV=4	yigL	6	275.86	29670.75492	2	854	1177	753.0	502	549	715	617	570	646	482	436	393	122	231	529	543	657	564.0	747.0	450	628	689.0
992	P75931	Virulence factor mviM homolog OS=Escherichia coli (strain K12) GN=mviM PE=1 SV=1	yceM	6	215.97	33642.19711	2	39	23	21.0	39	51	48	50	59	48	65	62	66	28	17	9	13	40	33.0	27.0	31	28	25.0
993	P0A6J1	Adenylyl-sulfate kinase OS=Escherichia coli (strain K12) GN=cysC PE=1 SV=2	cysC	6	530.73	22289.51644	2	834	206	502.0	472	495	485	543	475	447	288	160	126	151	127	470	720	825	529.0	394.0	273	450	601.0
994	P0AFJ7	Low-affinity inorganic phosphate transporter 1 OS=Escherichia coli (strain K12) GN=pitA PE=1 SV=1	pitA	6	348.83	53336.39574	2	208	288	267.0	92	156	168	152	252	184	143	123	107	106	134	97	235	177	195.0	219.0	124	188	241.0
995	P0AGD3	Superoxide dismutase [Fe] OS=Escherichia coli (strain K12) GN=sodB PE=1 SV=2	sodB	6	481.83	21234.51493	2	4213	22543	5752.0	4287	4801	7067	4590	4198	4594	5703	4462	3389	1412	1220	2538	6806	4210	3225.0	4759.0	2783	5850	4440.0
996	P0AGD1	Superoxide dismutase [Cu-Zn] OS=Escherichia coli (strain K12) GN=sodC PE=1 SV=1	sodC	6	307.02	17651.97126	2	346	280	267.0	268	308	530	298	244	212	203	369	462	1627	1373	812	262	716	241.0	291.0	719	194	237.0
997	P0A9L3	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fklB PE=1 SV=2	fklB	6	443.87	22184.50613	2	4381	7989	8368.0	1797	3166	3429	3350	3593	2728	2104	1557	1080	1697	1628	5052	2790	4055	3380.0	2992.0	1848	3216	3581.0
998	P0A9N4	Pyruvate formate-lyase 1-activating enzyme OS=Escherichia coli (strain K12) GN=pflA PE=1 SV=2	pflA	6	264.78	28167.966510000002	2	189	309	259.0	132	160	157	154	137	144	133	135	140	79	57	101	207	199	122.0	122.0	127	112	124.0
999	P63284	Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1	clpB	6	3517.57	95507.92427999999	2	119	423	156.0	136	155	177	132	114	127	120	130	129	612	547	171	525	375	118.0	118.0	72	104	118.0
1000	P77544	Uncharacterized GST-like protein yfcF OS=Escherichia coli (strain K12) GN=yfcF PE=1 SV=1	yfcF	6	279.73	24292.47047	2	191	74	79.0	84	109	113	115	72	92	90	80	73	71	82	199	120	263	140.0	106.0	109	89	103.0
1001	P0ACA1	Uncharacterized GST-like protein yibF OS=Escherichia coli (strain K12) GN=yibF PE=1 SV=1	yibF	6	370.5	22512.805659999998	2	637	351	549.0	421	577	552	626	633	409	335	368	362	345	256	737	196	676	575.0	594.0	614	552	604.0
1002	P0AA25	Thioredoxin-1 OS=Escherichia coli (strain K12) GN=trxA PE=1 SV=2	trxA	6	363.89	11781.10045	2	20951	26242	25428.0	11139	14560	20034	18242	17400	14939	12758	11467	10279	16304	15355	24508	24498	27898	21449.0	19876.0	20591	17823	25227.0
1003	P0AAN3	Hydrogenase isoenzymes nickel incorporation protein hypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	hypB	6	317.45	31526.765389999997	2	24	64	25.0	23	26	18	15	17	21	17	19	24	4	15	23	20	35	26.0	39.0	21	25	26.0
1004	P08395	Protease 4 OS=Escherichia coli (strain K12) GN=sppA PE=1 SV=2	sppA	6	323.23	67159.17675	2	53	86	65.0	39	49	55	51	69	79	77	69	59	40	21	65	65	69	76.0	55.0	35	44	95.0
1005	P07017	Methyl-accepting chemotaxis protein II OS=Escherichia coli (strain K12) GN=tar PE=1 SV=2	tar	6	396.73	59888.556520000006	2	2	4	3.0	1	2	13	5	4	30	87	24	2	3	36	4	2	4	5.0	2.0	10	2	7.0
1006	P0A9H7	Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) GN=cfa PE=1 SV=2	cfa	6	262.42	43862.65146	2	71	96	67.0	40	22	47	25	25	41	33	26	21	22	4	75	50	135	57.0	30.0	25	25	32.0
1007	P29012	Alanine racemase, catabolic OS=Escherichia coli (strain K12) GN=dadX PE=2 SV=2	dadX	6	442.4	38801.9209	2	28	411	406.0	142	70	54	50	144	60	77	50	71	46	52	59	20	52	53.0	46.0	18	48	36.0
1008	P37760	dTDP-4-dehydrorhamnose reductase OS=Escherichia coli (strain K12) GN=rfbD PE=3 SV=2	rfbD	6	359.82	32655.66505	2	761	1757	1375.0	507	622	534	575	476	537	448	315	234	159	122	679	751	670	682.0	545.0	324	683	699.0
1009	P37194	Outer membrane protein slp OS=Escherichia coli (strain K12) GN=slp PE=1 SV=1	slp	6	365.71	20932.718530000002	2	552	421	499.0	2360	714	1018	466	303	700	792	623	611	7580	7946	2147	1551	12769	1153.0	652.0	595	748	583.0
